Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
11067027-02cd-4aa7-9140-b216bd3143fa,"2020-05-27, 10:41:20 AM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:684038162509:trail/Udacity_Trail""}]",,eu-west-2,,46.5.255.18
67bca069-4a4c-417a-9a67-27be246d9962,"2020-05-27, 10:35:21 AM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,eu-west-2,,46.5.255.18
c64b0727-31d1-46c8-bb16-6cb31adacf01,"2020-05-27, 10:35:21 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:684038162509:trail/Udacity_Trail""}]",,eu-west-2,,46.5.255.18
0f47cc9f-52df-4e2b-83ef-3df95ea8a2d0,"2020-05-27, 10:35:20 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitytrails3bucket""}]",,eu-west-2,,46.5.255.18
6c02059a-b751-421d-8304-5c46436737b2,"2020-05-27, 10:35:20 AM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:684038162509:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitytrails3bucket""}]",,eu-west-2,,46.5.255.18
c87f3f91-5e1f-4dae-b17f-bc07a59cecd0,"2020-05-27, 10:35:20 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacitytrails3bucket""}]",,eu-west-2,,46.5.255.18
16fbfe21-0933-433c-aad3-25ce6450fe8d,"2020-05-27, 10:32:14 AM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
c3cee07b-56e2-4da0-8281-d66146f7fc7e,"2020-05-27, 10:31:28 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
0469046e-f70b-4aab-ac2d-2db1eea8239b,"2020-05-27, 10:31:11 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,46.5.255.18
021b502f-05cd-41cb-8eef-80b17303aae7,"2020-05-27, 10:28:28 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,46.5.255.18
303b5179-b945-4879-ab4d-0dffab058ffb,"2020-05-27, 10:28:28 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,46.5.255.18
10a75708-ec05-470b-8d78-689109ecca21,"2020-05-27, 10:28:27 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,46.5.255.18
38152b11-d19a-4600-b1d6-c826c966bd7f,"2020-05-27, 10:28:27 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAZ6Q62BBGZJSAAF2QE""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::684038162509:user/Accountant""}]",,us-east-1,,46.5.255.18
5141bedd-9b2e-4bc0-8107-6b61e2cf6d18,"2020-05-27, 10:27:31 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,46.5.255.18
